Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,Fraud_Found
Jul,4,Wednesday,Accura,Urban,Monday,Aug,1,Male,Married,54,Third Party,Sedan - All Perils,Sedan,3219,12,400,1,No,No,External,All Perils,0
Aug,4,Tuesday,Mazda,Urban,Thursday,Sep,4,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,3220,5,400,3,No,No,External,All Perils,0
Sep,5,Thursday,VW,Urban,Tuesday,Oct,1,Male,Married,71,Third Party,Sedan - Liability,Sport,3221,1,400,1,No,No,External,Liability,0
Sep,5,Friday,Mazda,Urban,Tuesday,Oct,2,Female,Single,23,Policy Holder,Sedan - Liability,Sport,3222,8,400,4,No,No,External,Liability,0
Nov,2,Tuesday,Pontiac,Rural,Friday,Nov,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,3223,13,400,2,No,No,External,Collision,0
Dec,4,Tuesday,Pontiac,Urban,Monday,Jan,2,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,3224,1,400,4,No,No,External,Collision,0
Apr,4,Saturday,VW,Urban,Wednesday,Apr,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,3225,1,700,1,No,No,External,Liability,0
Jun,4,Tuesday,Pontiac,Urban,Thursday,Sep,4,Female,Married,33,Third Party,Sedan - Collision,Sedan,3226,16,400,1,No,No,External,Collision,0
Aug,4,Thursday,Honda,Urban,Friday,Aug,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,3227,1,400,4,No,No,External,Liability,0
Sep,1,Tuesday,Toyota,Urban,Thursday,Sep,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,3228,14,400,4,Yes,No,External,Collision,0
Oct,5,Monday,Honda,Urban,Friday,Nov,1,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,3229,10,400,2,No,No,External,All Perils,0
Nov,2,Monday,Pontiac,Urban,Wednesday,Nov,3,Female,Single,30,Policy Holder,Sedan - Liability,Sport,3230,2,400,3,No,No,External,Liability,0
Nov,3,Thursday,Ford,Urban,Friday,Nov,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,3231,6,400,1,No,No,External,Liability,0
Dec,4,Tuesday,Toyota,Urban,Tuesday,Dec,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,3232,2,400,3,No,No,External,Collision,0
Dec,4,Tuesday,Mazda,Urban,Thursday,Dec,5,Male,Married,58,Policy Holder,Sedan - Liability,Sport,3233,7,400,2,No,No,External,Liability,0
Nov,2,Sunday,Honda,Urban,Monday,Nov,2,Female,Single,31,Policy Holder,Sedan - Liability,Sport,3234,4,400,1,No,No,External,Liability,0
Sep,1,Tuesday,Ford,Urban,Tuesday,Sep,1,Male,Married,67,Policy Holder,Sedan - Collision,Sedan,3235,9,400,4,No,No,External,Collision,0
Aug,3,Sunday,Toyota,Urban,Thursday,Sep,5,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,3236,11,400,3,No,No,External,Collision,0
Jun,4,Saturday,Mazda,Urban,Tuesday,Jun,4,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,3237,3,400,3,No,No,External,Collision,0
Apr,4,Friday,Toyota,Urban,Tuesday,Apr,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,3238,1,400,3,No,No,External,Liability,0
Mar,3,Thursday,Pontiac,Urban,Monday,Mar,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,3239,7,400,2,No,No,External,Liability,0
Jan,2,Monday,Toyota,Urban,Monday,Jan,2,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,3240,12,400,2,No,No,External,Collision,0
Jan,1,Thursday,Honda,Urban,Monday,Jan,3,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,3241,12,400,3,No,No,External,All Perils,0
Dec,4,Saturday,Pontiac,Urban,Thursday,Dec,5,Female,Married,44,Policy Holder,Sedan - Liability,Sport,3242,16,400,1,No,No,External,Liability,0
Dec,1,Sunday,Mazda,Urban,Monday,Jan,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,3243,16,400,4,No,No,External,Collision,0
Nov,3,Monday,Toyota,Urban,Monday,Nov,3,Male,Married,65,Policy Holder,Sedan - Liability,Sport,3244,6,400,2,No,No,External,Liability,0
Nov,1,Thursday,Honda,Urban,Tuesday,Nov,2,Female,Married,44,Policy Holder,Sedan - Liability,Sport,3245,5,400,2,No,No,External,Liability,0
Sep,5,Thursday,Accura,Urban,Thursday,Oct,1,Male,Single,38,Policy Holder,Sedan - All Perils,Sedan,3246,10,400,3,No,No,External,All Perils,0
Sep,4,Thursday,Honda,Urban,Friday,Sep,4,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,3247,8,400,4,No,No,External,Collision,0
Aug,5,Monday,Pontiac,Urban,Monday,Sep,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,3248,14,400,3,No,No,External,Liability,0
Aug,4,Friday,Chevrolet,Rural,Wednesday,Aug,5,Male,Married,61,Policy Holder,Sedan - Liability,Sport,3249,12,400,1,No,No,External,Liability,0
Aug,4,Thursday,Honda,Urban,Thursday,Sep,1,Female,Single,28,Policy Holder,Sedan - Liability,Sport,3250,1,400,1,No,No,External,Liability,0
May,1,Sunday,Honda,Urban,Tuesday,May,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,3251,1,400,4,No,No,External,All Perils,1
Aug,2,Wednesday,Ford,Urban,Tuesday,Aug,3,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,3252,5,400,2,No,No,External,All Perils,0
Jul,4,Wednesday,Pontiac,Urban,Tuesday,Aug,1,Male,Married,29,Third Party,Sedan - All Perils,Sedan,3253,16,400,1,No,No,External,All Perils,0
Jun,5,Wednesday,Pontiac,Urban,Thursday,Jul,2,Male,Married,32,Third Party,Sedan - Liability,Sport,3254,8,400,1,No,No,External,Liability,0
Jul,1,Friday,Pontiac,Urban,Saturday,Jul,1,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,3255,14,400,1,No,No,External,All Perils,0
Jun,4,Sunday,Toyota,Urban,Tuesday,Jun,5,Female,Married,21,Third Party,Sedan - All Perils,Sedan,3256,15,400,4,No,No,External,All Perils,0
May,5,Saturday,Pontiac,Urban,Monday,May,5,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,3257,8,400,4,No,No,External,All Perils,0
Apr,4,Monday,Chevrolet,Urban,Tuesday,Apr,4,Male,Married,51,Policy Holder,Sedan - Liability,Sport,3258,6,400,4,No,No,External,Liability,0
May,1,Sunday,Honda,Urban,Tuesday,May,1,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,3259,1,400,2,No,No,External,All Perils,1
Apr,3,Thursday,Honda,Urban,Thursday,Apr,5,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,3260,5,400,3,No,No,External,Collision,0
Apr,2,Sunday,Pontiac,Urban,Monday,Apr,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,3261,14,400,4,No,No,External,Collision,0
Mar,1,Tuesday,Toyota,Urban,Tuesday,Mar,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,3262,1,400,2,No,No,External,Liability,0
Jan,3,Saturday,Toyota,Urban,Wednesday,Jan,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,3263,12,400,1,No,No,External,Collision,0
Jan,3,Saturday,Pontiac,Urban,Monday,Jan,3,Male,Married,36,Policy Holder,Sedan - Liability,Sport,3264,12,400,2,No,No,External,Liability,0
May,3,Friday,Mazda,Urban,Monday,May,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,3265,14,500,1,No,No,External,Collision,1
May,2,Thursday,Pontiac,Urban,Thursday,May,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,3266,10,400,4,No,No,External,All Perils,0
Aug,1,Thursday,Pontiac,Rural,Wednesday,Aug,2,Female,Divorced,41,Third Party,Sedan - Collision,Sedan,3267,5,400,3,No,No,External,Collision,0
May,1,Monday,Pontiac,Rural,Monday,May,2,Male,Single,36,Policy Holder,Sedan - Collision,Sedan,3268,4,400,3,No,No,External,Collision,1
Mar,4,Wednesday,Chevrolet,Urban,Friday,Apr,2,Male,Single,34,Third Party,Sedan - Liability,Sport,3269,12,400,1,No,No,External,Liability,0
May,1,Friday,Chevrolet,Urban,Wednesday,May,3,Male,Married,51,Third Party,Sedan - All Perils,Sedan,3270,7,400,3,No,No,External,All Perils,0
May,5,Wednesday,Chevrolet,Urban,Wednesday,May,5,Male,Single,41,Policy Holder,Sedan - Liability,Sport,3271,5,400,2,No,No,External,Liability,0
Jun,1,Thursday,Pontiac,Urban,Thursday,Jun,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,3272,7,400,3,No,No,External,Liability,0
Aug,3,Wednesday,Toyota,Urban,Tuesday,Jul,2,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,3273,4,400,3,No,No,External,All Perils,0
May,5,Tuesday,Pontiac,Urban,Tuesday,Jun,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,3274,4,400,1,No,No,External,Liability,0
Jul,3,Tuesday,Pontiac,Urban,Monday,Sep,4,Female,Married,46,Policy Holder,Sedan - Liability,Sport,3275,12,400,3,No,No,External,Liability,0
May,1,Tuesday,Chevrolet,Urban,Wednesday,May,2,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,3276,2,400,4,No,No,External,Collision,1
Sep,1,Saturday,Toyota,Urban,Monday,Sep,1,Female,Married,26,Policy Holder,Sedan - Liability,Sport,3277,14,400,4,No,No,External,Liability,0
Sep,1,Friday,Mazda,Urban,Tuesday,Sep,1,Male,Married,52,Third Party,Sedan - All Perils,Sedan,3278,2,400,3,No,No,External,All Perils,0
Oct,2,Friday,Toyota,Urban,Monday,Oct,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,3279,8,400,1,No,No,External,Liability,0
May,3,Friday,Mazda,Urban,Monday,May,5,Female,Married,54,Third Party,Sedan - Liability,Sport,3280,15,400,1,No,No,External,Liability,0
Sep,3,Friday,Pontiac,Urban,Thursday,Sep,5,Male,Married,39,Policy Holder,Sedan - Liability,Sport,3281,8,400,3,No,No,External,Liability,0
Oct,2,Monday,Mazda,Rural,Tuesday,Oct,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,3282,12,400,1,No,No,External,All Perils,0
Oct,1,Thursday,Chevrolet,Urban,Friday,Oct,1,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,3283,10,400,1,No,No,External,Collision,0
Sep,5,Friday,Chevrolet,Urban,Tuesday,Oct,1,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,3284,4,400,2,Yes,No,External,Collision,0
Jan,4,Sunday,Saab,Urban,Monday,Jan,4,Male,Single,42,Policy Holder,Sedan - Liability,Sport,3285,11,400,4,No,No,External,Liability,0
Mar,2,Sunday,Ford,Urban,Monday,Mar,3,Male,Married,52,Policy Holder,Sedan - Liability,Sport,3286,5,400,3,No,No,External,Liability,0
Dec,1,Tuesday,Honda,Urban,Wednesday,Dec,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,3287,1,700,4,No,No,External,Collision,0
Mar,5,Thursday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,42,Third Party,Sedan - Collision,Sedan,3288,7,400,2,No,No,External,Collision,0
Oct,2,Tuesday,Pontiac,Urban,Wednesday,Oct,2,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,3289,9,400,4,No,No,External,All Perils,0
Oct,1,Tuesday,Mazda,Urban,Thursday,Oct,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,3290,4,400,4,No,No,External,Liability,0
Dec,1,Thursday,Toyota,Urban,Monday,Dec,2,Male,Married,51,Third Party,Sedan - Liability,Sport,3291,2,400,1,No,No,External,Liability,0
Jun,2,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Married,41,Third Party,Sedan - Collision,Sedan,3292,13,400,1,No,No,External,Collision,0
May,2,Monday,Dodge,Urban,Monday,May,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,3293,3,400,4,No,No,External,Collision,0
Jul,2,Saturday,Pontiac,Urban,Tuesday,Jul,2,Male,Married,26,Third Party,Sedan - Liability,Sport,3294,8,400,4,No,No,External,Liability,0
Mar,3,Monday,Mazda,Urban,Thursday,Mar,4,Male,Married,31,Policy Holder,Sedan - Liability,Sport,3295,7,400,1,No,No,External,Liability,0
Dec,3,Thursday,Toyota,Urban,Friday,Dec,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,3296,8,400,3,No,No,External,Collision,0
Nov,5,Thursday,Honda,Urban,Tuesday,Dec,1,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,3297,3,400,1,No,No,External,Collision,0
May,1,Tuesday,Toyota,Urban,Thursday,May,1,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,3298,14,400,1,No,No,External,Collision,1
Sep,1,Friday,Mazda,Urban,Friday,Sep,5,Female,Married,33,Policy Holder,Sedan - Liability,Sport,3299,16,400,1,No,No,External,Liability,0
Dec,5,Friday,Chevrolet,Urban,Monday,Jan,1,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,3300,4,400,1,No,No,External,Collision,0
Jul,4,Saturday,Pontiac,Urban,Wednesday,Jul,4,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,3301,4,400,4,No,No,External,Collision,0
Aug,3,Sunday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,3302,5,400,4,No,No,External,Liability,0
Jul,4,Tuesday,Pontiac,Urban,Thursday,Aug,2,Female,Married,35,Third Party,Sedan - Collision,Sedan,3303,12,400,1,No,No,External,Collision,0
Oct,3,Sunday,Honda,Urban,Monday,Oct,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,3304,11,400,3,No,No,External,Collision,0
Mar,1,Friday,Pontiac,Urban,Monday,Mar,3,Male,Married,33,Policy Holder,Sedan - Liability,Sport,3305,2,400,1,No,No,External,Liability,0
Sep,5,Friday,Ford,Urban,Thursday,Oct,1,Male,Married,47,Policy Holder,Utility - All Perils,Utility,3306,2,400,3,Yes,No,External,All Perils,0
Sep,5,Thursday,Honda,Urban,Tuesday,Oct,1,Female,Single,23,Policy Holder,Sedan - All Perils,Sedan,3307,14,400,1,No,No,External,All Perils,0
Sep,4,Wednesday,Pontiac,Urban,Wednesday,Sep,4,Male,Single,50,Policy Holder,Sedan - Liability,Sport,3308,13,400,2,No,No,External,Liability,0
May,4,Wednesday,Toyota,Urban,Thursday,May,4,Male,Married,26,Third Party,Sedan - Collision,Sedan,3309,3,400,3,No,No,Internal,Collision,0
May,4,Thursday,Pontiac,Urban,Monday,May,5,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,3310,2,400,2,No,No,External,Collision,0
May,4,Thursday,Honda,Urban,Friday,May,4,Male,Married,80,Third Party,Sport - Collision,Sport,3311,16,400,3,No,No,External,Collision,0
Jan,3,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,55,Policy Holder,Sport - Collision,Sport,3312,8,400,4,Yes,No,External,Collision,0
Jan,3,Friday,Toyota,Urban,Friday,Jan,4,Female,Single,22,Third Party,Sedan - Collision,Sedan,3313,1,400,2,Yes,No,External,Collision,0
Jan,3,Monday,Toyota,Urban,Tuesday,Jan,3,Male,Married,57,Policy Holder,Sedan - Liability,Sport,3314,5,400,2,No,No,External,Liability,0
Jan,3,Tuesday,Pontiac,Urban,Friday,Jan,3,Female,Single,21,Policy Holder,Sedan - Liability,Sport,3315,7,400,2,No,No,External,Liability,0
May,1,Monday,Chevrolet,Urban,Monday,May,5,Female,Married,46,Policy Holder,Sedan - Liability,Sport,3316,15,500,4,No,No,External,Liability,0
May,3,Wednesday,Honda,Urban,Monday,May,4,Male,Married,42,Third Party,Sedan - Collision,Sedan,3317,6,400,4,No,No,External,Collision,0
Jun,2,Sunday,Pontiac,Urban,Monday,Jun,2,Male,Single,24,Policy Holder,Sedan - Liability,Sport,3318,12,400,2,No,No,External,Liability,0
Aug,1,Thursday,Mazda,Urban,Thursday,Aug,1,Male,Single,48,Policy Holder,Sedan - Liability,Sport,3319,10,400,3,No,No,External,Liability,0
Sep,4,Monday,Toyota,Rural,Tuesday,Oct,1,Male,Single,35,Policy Holder,Sedan - Liability,Sport,3320,1,400,1,No,No,External,Liability,0
Oct,1,Monday,Mazda,Urban,Monday,Oct,1,Male,Married,35,Policy Holder,Sedan - Liability,Sport,3321,16,400,3,No,No,External,Liability,0
Oct,2,Wednesday,Pontiac,Urban,Monday,Dec,2,Male,Married,44,Third Party,Sedan - Liability,Sport,3322,15,400,2,No,No,External,Liability,0
Dec,3,Saturday,Toyota,Urban,Tuesday,Dec,3,Male,Single,28,Third Party,Sedan - Collision,Sedan,3323,15,400,2,No,No,External,Collision,0
Dec,3,Monday,Ford,Urban,Wednesday,Dec,4,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,3324,1,400,4,No,No,External,Collision,0
Jan,2,Friday,Chevrolet,Urban,Wednesday,Jan,3,Male,Single,27,Third Party,Sedan - Liability,Sport,3325,9,400,1,No,No,External,Liability,0
Apr,1,Monday,Honda,Urban,Friday,Apr,2,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,3326,9,400,3,No,No,External,Collision,0
Apr,1,Tuesday,Mazda,Urban,Tuesday,Apr,1,Male,Married,61,Third Party,Sedan - Liability,Sport,3327,13,400,3,No,No,External,Liability,0
Jun,3,Tuesday,Mazda,Urban,Tuesday,Jun,3,Male,Married,62,Policy Holder,Sedan - Liability,Sport,3328,12,400,1,No,No,External,Liability,0
Aug,4,Sunday,VW,Urban,Wednesday,Aug,5,Male,Married,42,Policy Holder,Sedan - Liability,Sport,3329,14,400,3,No,No,External,Liability,0
Sep,3,Thursday,Pontiac,Urban,Monday,Oct,1,Male,Single,26,Policy Holder,Sedan - All Perils,Sedan,3330,3,400,2,No,No,External,All Perils,0
Dec,3,Wednesday,Dodge,Urban,Friday,Dec,4,Male,Married,35,Policy Holder,Sedan - Liability,Sport,3331,2,400,1,No,No,External,Liability,0
Dec,4,Tuesday,Mazda,Urban,Tuesday,Dec,4,Female,Single,33,Policy Holder,Sedan - Liability,Sport,3332,5,400,4,No,No,External,Liability,0
Oct,1,Sunday,Pontiac,Rural,Monday,Oct,1,Male,Married,31,Third Party,Sedan - Collision,Sedan,3333,3,400,4,Yes,No,External,Collision,0
Jul,4,Wednesday,Pontiac,Urban,Monday,Aug,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,3334,8,400,2,No,No,External,All Perils,0
May,1,Wednesday,Honda,Urban,Friday,May,2,Male,Single,20,Policy Holder,Sport - Collision,Sport,3335,6,400,2,No,No,External,Collision,1
Mar,5,Friday,Honda,Urban,Tuesday,Jun,2,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,3336,4,400,4,No,No,External,All Perils,0
Jan,3,Wednesday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,3337,6,400,2,No,No,External,All Perils,0
Jan,2,Friday,Chevrolet,Rural,Tuesday,Jan,3,Male,Married,76,Third Party,Sedan - All Perils,Sedan,3338,12,400,1,No,No,External,All Perils,0
Nov,2,Saturday,Chevrolet,Urban,Wednesday,Nov,3,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,3339,15,400,4,No,No,External,Collision,0
Nov,2,Monday,Toyota,Urban,Tuesday,Nov,2,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,3340,16,400,3,No,No,External,Collision,0
Nov,1,Friday,Honda,Urban,Thursday,Nov,2,Female,Married,34,Third Party,Sport - Collision,Sport,3341,7,400,2,No,No,External,Collision,0
Oct,3,Friday,Toyota,Urban,Tuesday,Oct,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,3342,7,400,3,No,No,External,Liability,0
Oct,1,Tuesday,Pontiac,Urban,Tuesday,Oct,1,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,3343,15,400,3,No,No,External,Collision,0
Sep,2,Thursday,Mazda,Urban,Friday,Sep,2,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,3344,1,400,3,No,No,External,All Perils,0
Jul,4,Saturday,Chevrolet,Urban,Tuesday,Aug,3,Male,Single,44,Third Party,Sedan - Liability,Sport,3345,1,400,4,No,No,External,Liability,0
Jul,1,Sunday,Mazda,Rural,Monday,Jul,1,Male,Married,55,Third Party,Sedan - Collision,Sedan,3346,8,400,2,No,No,External,Collision,0
Jun,1,Thursday,Ford,Urban,Friday,Jun,2,Male,Single,55,Third Party,Sedan - All Perils,Sedan,3347,16,400,4,No,No,External,All Perils,0
May,2,Wednesday,Chevrolet,Urban,Wednesday,May,2,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,3348,3,400,4,No,No,External,Collision,0
May,1,Sunday,Honda,Urban,Wednesday,May,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,3349,7,400,2,No,No,External,Liability,0
Jun,2,Saturday,Accura,Urban,Thursday,Jun,3,Male,Married,31,Policy Holder,Utility - All Perils,Utility,3350,15,400,4,No,No,External,All Perils,0
Jun,1,Friday,Pontiac,Urban,Monday,Jun,1,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,3351,7,400,4,No,No,External,Collision,0
Jun,1,Friday,Chevrolet,Urban,Tuesday,Jun,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,3352,12,400,2,No,No,External,Collision,0
Oct,3,Monday,Chevrolet,Urban,Wednesday,Oct,3,Female,Single,37,Policy Holder,Sedan - Liability,Sport,3353,10,400,2,No,No,External,Liability,0
Oct,3,Monday,Pontiac,Urban,Tuesday,Oct,3,Male,Married,64,Third Party,Sedan - All Perils,Sedan,3354,7,400,3,No,No,External,All Perils,0
Oct,3,Monday,Honda,Urban,Thursday,Oct,3,Female,Single,27,Third Party,Sedan - All Perils,Sedan,3355,16,400,4,No,No,External,All Perils,0
Aug,1,Wednesday,Toyota,Urban,Friday,Oct,2,Male,Married,68,Policy Holder,Sedan - All Perils,Sedan,3356,4,400,1,No,No,External,All Perils,0
May,1,Thursday,Pontiac,Urban,Thursday,May,2,Male,Married,46,Third Party,Sedan - All Perils,Sedan,3357,12,400,4,No,No,External,All Perils,0
Jan,5,Sunday,Honda,Urban,Thursday,Feb,1,Female,Single,29,Policy Holder,Sedan - Collision,Sedan,3358,10,400,2,No,No,External,Collision,0
May,2,Sunday,Chevrolet,Urban,Monday,May,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,3359,10,400,3,No,No,External,Liability,0
Mar,4,Thursday,Accura,Rural,Friday,Apr,4,Male,Married,38,Third Party,Sedan - All Perils,Sedan,3360,15,400,4,No,Yes,External,All Perils,0
Oct,3,Wednesday,Chevrolet,Urban,Friday,Oct,3,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,3361,5,400,4,No,No,External,Collision,0
Jan,5,Saturday,Honda,Urban,Thursday,Feb,1,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,3362,5,400,4,No,No,External,Collision,0
Jan,2,Tuesday,Toyota,Rural,Thursday,Jan,2,Male,Married,26,Third Party,Sedan - All Perils,Sedan,3363,5,400,3,No,No,External,All Perils,0
Oct,2,Friday,Pontiac,Urban,Tuesday,Oct,3,Male,Married,59,Third Party,Sedan - All Perils,Sedan,3364,8,400,1,No,No,External,All Perils,0
Mar,5,Tuesday,Pontiac,Urban,Friday,Apr,1,Male,Married,38,Policy Holder,Sedan - Liability,Sport,3365,16,400,1,No,No,External,Liability,0
May,5,Saturday,Honda,Urban,Monday,May,5,Male,Married,38,Third Party,Sedan - Collision,Sedan,3366,10,400,1,No,No,External,Collision,0
Aug,4,Wednesday,Honda,Urban,Thursday,Aug,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,3367,14,500,1,No,No,External,Collision,0
Dec,1,Saturday,Ford,Urban,Monday,Dec,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,3368,8,400,3,No,No,External,Liability,0
Dec,4,Monday,Mazda,Urban,Wednesday,Dec,5,Female,Married,32,Policy Holder,Sedan - Liability,Sport,3369,5,400,4,No,No,External,Liability,0
Dec,4,Friday,Honda,Urban,Wednesday,Dec,5,Male,Married,35,Third Party,Sedan - Liability,Sport,3370,10,400,2,No,No,External,Liability,0
May,1,Thursday,Toyota,Urban,Friday,May,1,Male,Married,34,Third Party,Sedan - Collision,Sedan,3371,13,400,3,No,No,External,Collision,0
Jan,2,Tuesday,Toyota,Urban,Tuesday,Jan,3,Female,Married,50,Policy Holder,Sedan - Liability,Sport,3372,3,400,3,No,No,External,Liability,0
Jun,3,Wednesday,Pontiac,Urban,Wednesday,Jun,3,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,3373,2,400,3,No,No,External,Collision,0
Jul,1,Thursday,Mazda,Urban,Wednesday,Jul,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,3374,13,400,4,No,No,External,Liability,0
Jul,5,Saturday,Pontiac,Urban,Wednesday,Aug,1,Female,Single,33,Policy Holder,Sedan - Liability,Sport,3375,6,400,1,No,No,External,Liability,0
Oct,3,Friday,Mazda,Urban,Monday,Oct,4,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,3376,14,400,1,Yes,No,External,Collision,0
Oct,4,Saturday,Toyota,Urban,Monday,Oct,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,3377,10,400,3,No,No,External,Liability,0
Jul,2,Thursday,Honda,Urban,Wednesday,Jul,3,Male,Single,32,Third Party,Sedan - Collision,Sedan,3378,16,400,1,No,No,External,Collision,0
Dec,2,Monday,Mazda,Urban,Thursday,Dec,3,Male,Single,21,Third Party,Sedan - Collision,Sedan,3379,4,400,2,No,No,External,Collision,0
Nov,1,Thursday,Mazda,Urban,Friday,Nov,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,3380,4,700,3,No,No,External,Collision,0
Oct,5,Friday,Pontiac,Urban,Tuesday,Nov,2,Female,Single,39,Third Party,Sedan - Collision,Sedan,3381,13,400,1,No,Yes,External,Collision,0
Sep,4,Friday,Mazda,Urban,Monday,Sep,4,Male,Married,26,Third Party,Sedan - Collision,Sedan,3382,4,400,4,No,No,External,Collision,0
Aug,4,Monday,Honda,Urban,Tuesday,Aug,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,3383,7,400,4,No,No,External,Liability,0
Jul,3,Monday,Accura,Urban,Tuesday,Jul,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,3384,14,400,4,Yes,No,External,All Perils,0
May,1,Thursday,Chevrolet,Urban,Wednesday,May,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,3385,3,400,3,No,No,External,Collision,0
Aug,3,Friday,Honda,Urban,Wednesday,Sep,2,Male,Single,22,Third Party,Sport - Collision,Sport,3386,15,400,4,No,No,External,Collision,0
May,1,Thursday,Mazda,Urban,Monday,Jun,1,Male,Married,53,Third Party,Sedan - All Perils,Sedan,3387,16,400,2,Yes,No,External,All Perils,0
Jun,4,Thursday,Chevrolet,Urban,Tuesday,Jun,5,Male,Married,44,Policy Holder,Sedan - Liability,Sport,3388,8,400,4,No,No,External,Liability,0
May,1,Thursday,Chevrolet,Urban,Friday,May,2,Male,Married,24,Third Party,Sedan - All Perils,Sedan,3389,2,400,3,No,No,External,All Perils,0
Feb,1,Thursday,Pontiac,Urban,Monday,Feb,2,Male,Single,24,Third Party,Sedan - Collision,Sedan,3390,13,400,3,No,No,External,Collision,0
